,sedentary,LPA,MPA,VPA,steps,active
666,346,534,19,62,10488.0,3
667,406,497,9,20,21837.0,3
668,590,218,12,19,17140.0,3
669,652,268,33,68,16336.0,4
670,659,214,10,75,11730.0,3
671,683,196,8,25,8515.0,2
672,343,492,20,39,13513.0,4
673,738,306,6,13,7215.0,1
674,489,149,28,331,16921.0,4
675,552,226,60,101,8743.0,2
676,719,248,11,10,13756.0,2
677,664,204,10,14,6699.0,1
678,666,236,21,30,20762.0,4
679,377,489,31,63,7358.0,1
680,492,482,21,8,11139.0,2
681,379,504,6,8,10801.0,1
682,702,206,45,31,8941.0,2
683,719,342,0,0,18391.0,4
684,517,234,14,69,6023.0,1
685,715,221,6,20,10987.0,3
686,400,490,12,24,6469.0,1
687,643,262,4,9,17656.0,1
688,557,252,79,113,13176.0,4
689,764,186,25,35,14867.0,4
690,333,505,32,86,6757.0,1
691,744,282,0,0,9635.0,2
692,702,241,86,14,12761.0,4
693,627,204,40,63,8753.0,2
694,798,228,5,6,6878.0,1
695,424,487,8,26,20511.0,4
696,628,208,15,14,1668.0,0
697,561,248,21,84,22380.0,4
698,717,150,13,35,15979.0,4
699,387,526,13,20,7996.0,2
700,666,279,21,65,7515.0,2
701,722,210,19,56,10831.0,3
702,742,214,3,6,15097.0,1
703,579,216,31,76,5706.0,1
704,629,276,22,45,9353.0,2
705,688,221,11,17,2153.0,0
706,692,289,0,0,4904.0,0
707,279,552,14,60,6880.0,1
708,730,127,0,0,16385.0,4
709,274,571,4,22,21313.0,3
710,583,249,43,110,3950.0,0
711,691,276,3,7,0.0,0
712,704,186,8,12,0.0,0
713,682,233,26,57,0.0,0
714,500,415,24,36,0.0,0
715,686,199,0,0,0.0,0
716,554,325,11,9,0.0,0
717,868,167,0,0,0.0,0
718,821,159,0,0,0.0,0
719,694,210,11,21,0.0,0
720,611,248,23,83,0.0,0
721,394,522,49,26,0.0,0
722,861,52,10,17,0.0,0
723,1440,0,0,0,0.0,0
724,1440,0,0,0,0.0,0
725,1440,0,0,0,0.0,0
726,1440,0,0,0,0.0,0
727,1440,0,0,0,0.0,0
728,1440,0,0,0,0.0,0
729,1440,0,0,0,0.0,0
730,1440,0,0,0,0.0,0
731,1440,0,0,0,0.0,0
732,1440,0,0,0,0.0,0
733,1440,0,0,0,0.0,0
734,1440,0,0,0,0.0,0
735,1440,0,0,0,0.0,0
736,1440,0,0,0,0.0,0
737,1440,0,0,0,0.0,0
738,1440,0,0,0,0.0,0
739,1440,0,0,0,0.0,0
740,1440,0,0,0,0.0,0
741,1440,0,0,0,9198.0,2
742,1440,0,0,0,9865.0,2
743,1309,30,39,62,13397.0,4
744,549,313,0,0,15800.0,4
745,617,232,24,52,13096.0,4
746,542,238,29,84,11578.0,3
747,508,389,9,0,11769.0,3
748,632,280,11,29,6142.0,1
749,656,307,8,12,10273.0,2
750,721,200,21,6,16118.0,2
751,750,252,11,18,7542.0,2
752,456,268,117,13,9480.0,2
753,632,266,15,11,11716.0,2
754,661,322,7,10,14211.0,1
755,545,284,13,21,10384.0,3
756,640,424,5,3,12639.0,4
757,595,287,5,2,15956.0,4
758,719,215,22,36,9351.0,2
759,571,273,62,62,8378.0,2
760,520,266,15,13,14863.0,2
761,718,273,9,6,2150.0,0
762,560,419,4,9,12326.0,1
763,850,124,0,0,13214.0,4
764,633,292,34,14,644.0,0
765,663,209,29,24,8346.0,2
766,599,78,0,0,12684.0,4
767,1137,291,6,6,10057.0,1
768,554,377,6,7,10880.0,1
769,716,250,2,17,12663.0,2
770,707,208,21,45,13972.0,4
771,554,276,29,28,17145.0,4
772,533,363,38,23,20193.0,4
773,339,366,33,11,9881.0,2
774,469,343,48,68,14911.0,4
775,741,274,2,10,6734.0,1
776,572,258,33,50,8419.0,2
777,763,197,6,4,21336.0,1
778,681,223,26,8,18638.0,2
779,466,323,70,31,8988.0,2
780,434,295,91,36,3440.0,0
781,612,273,20,3,6784.0,1
782,524,153,0,0,7009.0,1
783,670,216,12,15,11392.0,2
784,690,264,8,2,11941.0,3
785,650,277,16,8,15700.0,2
786,540,304,12,8,12972.0,1
787,401,475,36,1,16109.0,2
788,533,337,8,20,12134.0,3
789,912,471,31,26,2367.0,0
790,541,275,30,6,4915.0,0
791,1301,139,0,0,9438.0,2
792,1197,231,10,2,14184.0,1
793,562,337,0,0,13724.0,4
794,476,361,48,21,10563.0,3
795,483,379,27,37,11895.0,3
796,427,358,11,9,1026.0,0
797,402,383,9,1,15516.0,4
798,585,67,0,0,12517.0,4
799,456,282,76,36,17854.0,4
800,1184,198,13,45,0.0,0
801,1096,209,90,45,12098.0,3
802,1430,10,0,0,10160.0,3
803,1155,232,9,44,11295.0,3
804,712,261,12,14,4892.0,0
805,627,367,16,1,17244.0,1
806,785,158,8,2,10608.0,3
807,1079,269,37,55,12331.0,3
